Date,Open EUR/CAD,Open EUR/CHF,Open USD/CAD,Open EUR/GBP,Open EUR/USD,Open EUR/CNY
2005-01-03,1.6302,1.5449,1.2002,0.7074,1.358105,11.1131
2005-01-04,1.6266,1.5452,1.208,0.7068,1.3470010000000001,11.1338
2005-01-05,1.6222,1.5509,1.221,0.7051,1.3283040000000002,10.9915
2005-01-06,1.6251,1.5497,1.2243,0.7037,1.327898,10.9538
2005-01-07,1.6283,1.5468,1.2352,0.7024,1.3182,10.9004
2005-01-10,1.6101,1.5478,1.2315,0.6983,1.3076,10.7999
2005-01-11,1.6002,1.5461,1.2208,0.6982,1.311407,10.8487
2005-01-12,1.5982,1.5504,1.219,0.698,1.311407,10.835
2005-01-13,1.5925,1.5474,1.2014,0.7011,1.325908,10.9459
2005-01-14,1.5879,1.548,1.2024,0.7017,1.3211959999999998,10.9099
2005-01-17,1.5944,1.5471,1.2164,0.7003,1.309998,10.8235
2005-01-18,1.5895,1.5449,1.2187,0.7024,1.304904,10.7755
2005-01-19,1.5934,1.5433,1.224,0.6984,1.301795,10.7746
2005-01-20,1.5973,1.541,1.2289,0.6948,1.3002040000000001,10.7452
2005-01-21,1.598,1.5421,1.2333,0.6928,1.296193,10.6985
2005-01-24,1.5922,1.5464,1.2212,0.6945,1.304206,10.7879
2005-01-25,1.5956,1.5449,1.2238,0.6938,1.3039,10.7742
2005-01-26,1.6015,1.5478,1.2351,0.6957,1.297202,10.7014
2005-01-27,1.6122,1.5467,1.2329,0.6948,1.307908,10.8094
2005-01-28,1.6137,1.5447,1.2373,0.6896,1.304308,10.7639
2005-01-31,1.6153,1.5482,1.24,0.6902,1.302406,10.7655
2005-02-01,1.6183,1.5498,1.2401,0.6925,1.3050059999999999,10.7821
2005-02-02,1.6072,1.5539,1.232,0.6927,1.305108,10.7506
2005-02-03,1.6129,1.5549,1.2374,0.6913,1.303492,10.7593
2005-02-04,1.6088,1.5591,1.2402,0.6891,1.297101,10.7175
2005-02-07,1.606,1.5581,1.2492,0.6861,1.285595,10.6099
2005-02-08,1.6018,1.5619,1.2551,0.6868,1.276406,10.5495
2005-02-09,1.5948,1.5593,1.2491,0.6887,1.276797,10.5536
2005-02-10,1.5982,1.558,1.2472,0.6889,1.281,10.5822
2005-02-11,1.5996,1.5549,1.2421,0.6893,1.2877969999999999,10.6298
2005-02-14,1.5937,1.5572,1.2369,0.6894,1.288892,10.6881
2005-02-15,1.6004,1.554,1.234,0.6872,1.297202,10.7208
2005-02-16,1.6023,1.5474,1.2312,0.6867,1.3014059999999998,10.7217
2005-02-17,1.6105,1.5473,1.2367,0.6911,1.302507,10.7783
2005-02-18,1.6055,1.5477,1.2281,0.6898,1.307497,10.7986
2005-02-21,1.6092,1.5461,1.2312,0.6899,1.307207,10.7812
